year,month,day,mean_speed,date,month_day
2018,11,1,29.31183897,11/1/2018,11-1
2018,11,2,28.97066133,11/2/2018,11-2
2018,11,3,29.32909806,11/3/2018,11-3
2018,11,4,31.60832047,11/4/2018,11-4
2018,11,5,30.6053995,11/5/2018,11-5
2018,11,6,29.54205838,11/6/2018,11-6
2018,11,7,29.36429255,11/7/2018,11-7
2018,11,8,28.84939294,11/8/2018,11-8
2018,11,9,28.82169207,11/9/2018,11-9
2018,11,10,30.10605271,11/10/2018,11-10
2018,11,11,32.10757331,11/11/2018,11-11
2018,11,12,31.51910861,11/12/2018,11-12
2018,11,13,29.71655356,11/13/2018,11-13
2018,11,14,28.91088984,11/14/2018,11-14
2018,11,15,28.59182831,11/15/2018,11-15
2018,11,16,28.98398676,11/16/2018,11-16
2018,11,17,29.30821678,11/17/2018,11-17
2018,11,18,31.88861874,11/18/2018,11-18
2018,11,19,29.95295863,11/19/2018,11-19
2018,11,20,29.46017761,11/20/2018,11-20
2018,11,21,29.98616252,11/21/2018,11-21
2018,11,22,33.95708446,11/22/2018,11-22
2018,11,23,32.31070371,11/23/2018,11-23
2018,11,24,32.54956471,11/24/2018,11-24
2018,11,25,33.90425318,11/25/2018,11-25
2018,11,26,29.06996483,11/26/2018,11-26
2018,11,27,29.06515422,11/27/2018,11-27
2018,11,28,28.55884588,11/28/2018,11-28
2018,11,29,29.26584325,11/29/2018,11-29
2018,11,30,28.74595602,11/30/2018,11-30
2018,12,1,29.71017984,12/1/2018,12-1
2018,12,2,31.59385147,12/2/2018,12-2
2018,12,3,30.31050258,12/3/2018,12-3
2018,12,4,29.18565125,12/4/2018,12-4
2018,12,5,28.83047985,12/5/2018,12-5
2018,12,6,28.78558518,12/6/2018,12-6
2018,12,7,28.99563465,12/7/2018,12-7
2018,12,8,30.35581943,12/8/2018,12-8
2018,12,9,31.59201246,12/9/2018,12-9
2018,12,10,29.72002798,12/10/2018,12-10
2018,12,11,28.20483751,12/11/2018,12-11
2018,12,12,28.76163994,12/12/2018,12-12
2018,12,13,28.02363651,12/13/2018,12-13
2018,12,14,28.75489236,12/14/2018,12-14
2018,12,15,30.09637765,12/15/2018,12-15
2018,12,16,31.60324185,12/16/2018,12-16
2018,12,17,29.89181307,12/17/2018,12-17
2018,12,18,28.85560459,12/18/2018,12-18
2018,12,19,29.4627312,12/19/2018,12-19
2018,12,20,29.02563848,12/20/2018,12-20
2018,12,21,29.92558632,12/21/2018,12-21
2018,12,22,31.50558075,12/22/2018,12-22
